entry_date,exit_date,entry_price,exit_price,stop,target_1,target_2,shares,pnl,pnl_pct,exit_reason,hold_days,atr,symbol,strategy
2026-02-19 00:00:00+05:30,2026-02-20 00:00:00+05:30,155.05,160.56,138.18,184.58,197.24,118,650.18,3.55,max_hold,2,8.44,AHLEAST,Momentum Breakout
2025-12-22 00:00:00+05:30,2026-01-13 00:00:00+05:30,581.0,677.32,542.47,648.42,677.32,51,4093.66,13.82,target_2,16,19.26,AIIL,Momentum Breakout
2026-02-12 00:00:00+05:30,2026-02-16 00:00:00+05:30,20.5,18.35,18.35,24.26,25.88,929,-1998.68,-10.49,stop_loss,3,1.08,AIRAN,Momentum Breakout
2025-12-23 00:00:00+05:30,2026-01-02 00:00:00+05:30,2724.8,3019.19,2607.04,2930.88,3019.19,16,4003.74,9.18,target_2,8,58.88,AJANTPHARM,Momentum Breakout
2026-02-16 00:00:00+05:30,2026-02-20 00:00:00+05:30,2937.0,2939.4,2784.71,3203.5,3317.71,13,31.2,0.08,max_hold,5,76.14,AJANTPHARM,Momentum Breakout
2026-02-02 00:00:00+05:30,2026-02-02 00:00:00+05:30,4.65,4.17,4.17,5.5,5.86,4142,-1999.99,-10.38,stop_loss,1,0.24,AJOONI,Momentum Breakout
2026-02-05 00:00:00+05:30,2026-02-20 00:00:00+05:30,4.79,4.81,4.17,5.87,6.33,3240,64.8,0.42,max_hold,12,0.31,AJOONI,Momentum Breakout
2026-01-23 00:00:00+05:30,2026-01-23 00:00:00+05:30,81.0,74.78,74.78,91.89,96.55,321,-1997.08,-7.68,stop_loss,1,3.11,AKANKSHA-SM,Momentum Breakout
2026-01-09 00:00:00+05:30,2026-01-12 00:00:00+05:30,32.9,30.29,30.29,37.47,39.42,766,-1998.17,-7.93,stop_loss,2,1.3,AKASH,Momentum Breakout
2026-02-19 00:00:00+05:30,2026-02-19 00:00:00+05:30,28.85,25.89,25.89,34.02,36.24,676,-1999.03,-10.25,stop_loss,1,1.48,AKASH,Momentum Breakout
2026-01-16 00:00:00+05:30,2026-02-19 00:00:00+05:30,12.97,14.04,11.77,15.08,15.98,1662,889.17,4.12,max_hold,25,0.6,AKG,Momentum Breakout
2025-12-23 00:00:00+05:30,2026-01-09 00:00:00+05:30,458.0,439.72,439.72,489.99,503.7,109,-1992.36,-3.99,stop_loss,13,9.14,AKUMS,Momentum Breakout
2026-02-17 00:00:00+05:30,2026-02-20 00:00:00+05:30,482.0,478.35,448.36,540.88,566.11,59,-215.35,-0.76,max_hold,4,16.82,AKUMS,Momentum Breakout
2025-12-03 00:00:00+05:30,2025-12-17 00:00:00+05:30,3413.2,3204.66,3204.66,3778.15,3934.56,9,-1876.89,-6.11,stop_loss,11,104.27,AKZOINDIA,Momentum Breakout
2026-02-13 00:00:00+05:30,2026-02-20 00:00:00+05:30,749.95,725.7,694.31,847.32,889.06,35,-848.75,-3.23,max_hold,6,27.82,ALBERTDAVD,Momentum Breakout
2026-01-29 00:00:00+05:30,2026-02-20 00:00:00+05:30,935.0,910.95,864.67,1058.08,1110.82,28,-673.4,-2.57,max_hold,18,35.16,ALIVUS,Momentum Breakout
2026-01-08 00:00:00+05:30,2026-02-01 00:00:00+05:30,5805.5,5584.71,5584.71,6191.88,6357.46,9,-1987.07,-3.8,stop_loss,16,110.39,ALKEM,Momentum Breakout
2026-01-30 00:00:00+05:30,2026-02-13 00:00:00+05:30,877.3,816.36,816.36,983.94,1029.64,32,-1949.94,-6.95,stop_loss,12,30.47,ALLDIGI,Momentum Breakout
2026-02-11 00:00:00+05:30,2026-02-20 00:00:00+05:30,267.0,246.84,236.89,319.7,342.29,66,-1330.56,-7.55,max_hold,8,15.06,ALLTIME,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-13 00:00:00+05:30,956.0,848.85,848.85,1143.51,1223.88,18,-1928.7,-11.21,stop_loss,4,53.58,ALPEXSOLAR-SM,Momentum Breakout
2026-02-06 00:00:00+05:30,2026-02-19 00:00:00+05:30,119.9,131.4,113.34,131.39,136.31,304,1748.0,4.8,max_hold,4,3.28,AMBANIORGO-SM,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,7299.0,7650.5,6730.86,8293.25,8719.36,3,1054.5,4.82,max_hold,9,284.07,AMBER,Momentum Breakout
2026-02-17 00:00:00+05:30,2026-02-20 00:00:00+05:30,26.97,25.02,24.27,31.7,33.72,740,-1443.0,-7.23,max_hold,4,1.35,AMBICAAGAR,Momentum Breakout
2026-01-20 00:00:00+05:30,2026-01-20 00:00:00+05:30,56.0,50.09,50.09,66.34,70.77,338,-1996.61,-10.55,stop_loss,1,2.95,AMDIND,Momentum Breakout
2025-12-19 00:00:00+05:30,2026-01-16 00:00:00+05:30,81.0,72.9,66.26,106.79,117.84,135,-1093.5,-10.0,max_hold,9,7.37,AMIABLE-ST,Momentum Breakout
2025-12-17 00:00:00+05:30,2025-12-24 00:00:00+05:30,210.0,192.7,192.7,240.28,253.26,115,-1989.83,-8.24,stop_loss,6,8.65,AMNPLST,Momentum Breakout
2026-01-05 00:00:00+05:30,2026-01-09 00:00:00+05:30,587.0,548.46,548.46,654.44,683.34,51,-1965.32,-6.56,stop_loss,5,19.27,ANANTRAJ,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,68.3,68.31,63.09,77.42,81.33,383,3.83,0.01,max_hold,9,2.61,ANDHRAPAP,Momentum Breakout
2026-01-19 00:00:00+05:30,2026-01-21 00:00:00+05:30,2765.0,2578.73,2578.73,3090.98,3230.68,10,-1862.71,-6.74,stop_loss,3,93.14,ANGELONE,Momentum Breakout
2026-01-19 00:00:00+05:30,2026-01-20 00:00:00+05:30,488.0,434.24,434.24,582.08,622.39,37,-1989.01,-11.02,stop_loss,2,26.88,ANTELOPUS,Momentum Breakout
2026-01-28 00:00:00+05:30,2026-02-01 00:00:00+05:30,618.0,525.04,525.04,780.68,850.39,21,-1952.1,-15.04,stop_loss,4,46.48,ANTELOPUS,Momentum Breakout
2026-02-12 00:00:00+05:30,2026-02-20 00:00:00+05:30,691.55,681.9,639.8,782.11,820.92,38,-366.7,-1.4,max_hold,7,25.88,ANTHEM,Momentum Breakout
2026-02-04 00:00:00+05:30,2026-02-20 00:00:00+05:30,9600.0,10519.0,8726.93,11127.88,11782.68,2,1838.0,9.57,max_hold,13,436.54,APARINDS,Momentum Breakout
2026-01-01 00:00:00+05:30,2026-02-05 00:00:00+05:30,133.8,137.26,120.83,156.5,166.23,154,532.84,2.59,max_hold,25,6.49,APCL,Momentum Breakout
2026-02-04 00:00:00+05:30,2026-02-13 00:00:00+05:30,352.0,457.23,309.91,425.66,457.23,47,4114.58,24.87,target_2,8,21.05,APEX,Momentum Breakout
2026-01-07 00:00:00+05:30,2026-01-16 00:00:00+05:30,7349.0,7103.14,7103.14,7779.25,7963.64,8,-1966.86,-3.35,stop_loss,7,122.93,APOLLOHOSP,Momentum Breakout
2026-02-09 00:00:00+05:30,2026-02-20 00:00:00+05:30,315.95,332.5,280.19,378.54,405.36,55,910.25,5.24,max_hold,10,17.88,APOLLOPIPE,Momentum Breakout
2026-02-05 00:00:00+05:30,2026-02-16 00:00:00+05:30,392.95,355.99,355.99,457.64,485.36,54,-1996.07,-9.41,stop_loss,8,18.48,APS-SM,Momentum Breakout
2026-02-11 00:00:00+05:30,2026-02-20 00:00:00+05:30,93.69,92.95,85.94,107.25,113.06,258,-190.92,-0.79,max_hold,8,3.87,APTECHT,Momentum Breakout
2025-12-24 00:00:00+05:30,2026-01-12 00:00:00+05:30,68.0,79.77,63.29,76.24,79.77,424,4243.71,14.72,target_2,13,2.35,ARFIN,Momentum Breakout
2026-01-05 00:00:00+05:30,2026-01-08 00:00:00+05:30,345.45,325.48,325.48,380.4,395.38,100,-1997.14,-5.78,stop_loss,4,9.99,ARIES,Momentum Breakout
2026-02-13 00:00:00+05:30,2026-02-20 00:00:00+05:30,355.0,343.8,320.16,415.96,442.09,57,-638.4,-3.15,max_hold,6,17.42,ARIES,Momentum Breakout
2026-02-17 00:00:00+05:30,2026-02-20 00:00:00+05:30,1693.0,1626.5,1531.54,1975.55,2096.64,12,-798.0,-3.93,max_hold,4,80.73,ARMANFIN,Momentum Breakout
2026-01-02 00:00:00+05:30,2026-01-07 00:00:00+05:30,33.48,29.84,29.84,39.84,42.57,550,-1999.64,-10.86,stop_loss,4,1.82,AROGRANITE,Momentum Breakout
2026-02-16 00:00:00+05:30,2026-02-19 00:00:00+05:30,1.49,1.69,1.33,1.77,1.89,12389,2477.8,13.42,max_hold,4,0.08,ARSHIYA-BZ,Momentum Breakout
2025-12-23 00:00:00+05:30,2025-12-26 00:00:00+05:30,22.65,21.33,21.33,24.96,25.95,1513,-1999.32,-5.83,stop_loss,3,0.66,ARUNAYA-SM,Momentum Breakout
2026-02-13 00:00:00+05:30,2026-02-18 00:00:00+05:30,20.3,22.96,19.24,22.16,22.96,1879,4247.3,11.13,target_2,4,0.53,ARUNAYA-SM,Momentum Breakout
2025-12-08 00:00:00+05:30,2025-12-09 00:00:00+05:30,203.5,203.5,184.95,235.96,249.88,107,0.0,0.0,stop_loss,2,9.28,ARVEE-BE,Momentum Breakout
2025-12-19 00:00:00+05:30,2026-01-01 00:00:00+05:30,255.0,209.67,209.67,334.32,368.31,44,-1994.33,-17.77,stop_loss,9,22.66,ARVEE-BE,Momentum Breakout
2026-02-02 00:00:00+05:30,2026-02-20 00:00:00+05:30,333.0,367.9,304.89,382.19,403.27,71,1221.5,5.17,max_hold,15,14.05,ARVIND,Momentum Breakout
2025-11-25 00:00:00+05:30,2025-12-18 00:00:00+05:30,1047.0,977.11,977.11,1169.31,1221.73,28,-1957.0,-6.68,stop_loss,18,34.95,ASAHIINDIA,Momentum Breakout
2025-12-19 00:00:00+05:30,2025-12-29 00:00:00+05:30,776.95,916.97,720.94,874.96,916.97,35,4046.52,14.88,target_2,6,28.0,ASHAPURMIN,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-12 00:00:00+05:30,307.0,360.64,285.54,344.55,360.64,93,4194.87,14.69,target_2,3,10.73,ASHIANA,Momentum Breakout
2026-02-16 00:00:00+05:30,2026-02-20 00:00:00+05:30,15.95,16.0,14.24,18.95,20.24,1166,58.3,0.31,max_hold,5,0.86,ASHOKAMET,Momentum Breakout
2025-11-28 00:00:00+05:30,2026-01-01 00:00:00+05:30,158.0,180.81,148.88,173.96,180.81,219,4226.16,12.21,target_2,24,4.56,ASHOKLEY,Momentum Breakout
2026-02-11 00:00:00+05:30,2026-02-20 00:00:00+05:30,277.0,309.6,245.3,332.48,356.25,63,2053.8,11.77,max_hold,8,15.85,ASIANENE,Momentum Breakout
2026-01-13 00:00:00+05:30,2026-01-16 00:00:00+05:30,2900.0,2797.59,2797.59,3079.23,3156.04,19,-1945.87,-3.53,stop_loss,3,51.21,ASIANPAINT,Momentum Breakout
2025-12-19 00:00:00+05:30,2026-01-21 00:00:00+05:30,69.0,69.0,64.03,77.69,81.42,402,0.0,0.0,stop_loss,22,2.48,ASIANTILES,Momentum Breakout
2025-12-12 00:00:00+05:30,2025-12-12 00:00:00+05:30,13.4,12.15,12.15,15.58,16.52,1603,-1999.17,-9.31,stop_loss,1,0.62,ASMS,Momentum Breakout
2026-02-06 00:00:00+05:30,2026-02-09 00:00:00+05:30,15.76,13.67,13.67,19.42,20.98,957,-1998.76,-13.25,stop_loss,2,1.04,ASMS,Momentum Breakout
2026-01-01 00:00:00+05:30,2026-01-01 00:00:00+05:30,294.8,269.5,269.5,339.08,358.05,79,-1998.7,-8.58,stop_loss,1,12.65,ASPINWALL,Momentum Breakout
2026-01-06 00:00:00+05:30,2026-01-12 00:00:00+05:30,1490.2,1425.53,1425.53,1603.38,1651.88,30,-1940.14,-4.34,stop_loss,5,32.34,ASTRAL,Momentum Breakout
2026-02-11 00:00:00+05:30,2026-02-20 00:00:00+05:30,1540.0,1636.6,1451.03,1695.7,1762.43,22,2125.2,6.27,max_hold,8,44.49,ASTRAL,Momentum Breakout
2025-12-29 00:00:00+05:30,2026-01-16 00:00:00+05:30,987.0,936.16,936.16,1075.97,1114.11,39,-1982.87,-5.15,stop_loss,14,25.42,ASTRAMICRO,Momentum Breakout
2026-01-19 00:00:00+05:30,2026-02-16 00:00:00+05:30,27.44,25.63,25.63,30.61,31.96,1104,-1998.24,-6.6,stop_loss,21,0.9,ATALREAL,Momentum Breakout
2026-01-27 00:00:00+05:30,2026-02-20 00:00:00+05:30,154.0,159.45,134.42,188.26,202.95,102,555.9,3.54,max_hold,20,9.79,ATMASTCO-SM,Momentum Breakout
2026-01-02 00:00:00+05:30,2026-01-08 00:00:00+05:30,473.8,446.31,446.31,521.91,542.53,72,-1979.49,-5.8,stop_loss,5,13.75,ATULAUTO,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,483.0,475.3,437.78,562.14,596.05,44,-338.8,-1.59,max_hold,9,22.61,ATULAUTO,Momentum Breakout
2025-12-12 00:00:00+05:30,2026-01-19 00:00:00+05:30,176.4,208.39,163.6,198.8,208.39,156,4242.25,15.42,target_2,25,6.4,AURUM,Momentum Breakout
2026-01-19 00:00:00+05:30,2026-01-23 00:00:00+05:30,156.45,136.62,136.62,191.15,206.02,100,-1983.0,-12.67,stop_loss,5,9.92,AUSOMENT-BE,Momentum Breakout
2025-12-03 00:00:00+05:30,2026-01-07 00:00:00+05:30,1851.5,1972.2,1755.13,2020.15,2092.43,20,1207.0,3.26,max_hold,25,48.19,AUTOAXLES,Momentum Breakout
2026-02-05 00:00:00+05:30,2026-02-06 00:00:00+05:30,2050.1,1871.86,1871.86,2362.02,2495.71,11,-1960.67,-8.69,stop_loss,2,89.12,AUTOAXLES,Momentum Breakout
2025-12-17 00:00:00+05:30,2026-01-22 00:00:00+05:30,75.5,74.72,68.7,87.4,92.5,294,-229.32,-1.03,max_hold,25,3.4,AUTOIND,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,82.72,78.66,74.87,96.46,102.34,254,-1031.24,-4.91,max_hold,9,3.93,AUTOIND,Momentum Breakout
2026-01-08 00:00:00+05:30,2026-01-20 00:00:00+05:30,928.7,866.74,866.74,1037.12,1083.59,32,-1982.63,-6.67,stop_loss,8,30.98,AVALON,Momentum Breakout
2026-02-04 00:00:00+05:30,2026-02-20 00:00:00+05:30,1014.05,1028.05,916.14,1185.39,1258.82,20,280.0,1.38,max_hold,13,48.95,AVALON,Momentum Breakout
2025-12-24 00:00:00+05:30,2026-01-14 00:00:00+05:30,164.0,151.29,151.29,186.24,195.77,157,-1995.25,-7.75,stop_loss,15,6.35,AVANTEL,Momentum Breakout
2026-02-04 00:00:00+05:30,2026-02-11 00:00:00+05:30,953.1,1178.06,863.11,1110.58,1178.06,22,4206.83,20.06,target_2,6,44.99,AVANTIFEED,Momentum Breakout
2026-02-12 00:00:00+05:30,2026-02-19 00:00:00+05:30,521.6,479.64,479.64,595.04,626.51,47,-1972.32,-8.05,stop_loss,6,20.98,AVL,Momentum Breakout
2026-01-14 00:00:00+05:30,2026-02-18 00:00:00+05:30,134.09,125.12,119.09,160.34,171.59,133,-1193.01,-6.69,max_hold,25,7.5,AVROIND-BE,Momentum Breakout
2026-02-11 00:00:00+05:30,2026-02-13 00:00:00+05:30,71.05,65.53,65.53,80.71,84.85,362,-1997.72,-7.77,stop_loss,3,2.76,AVTNPL,Momentum Breakout
2025-12-19 00:00:00+05:30,2025-12-22 00:00:00+05:30,533.95,494.79,494.79,602.49,631.86,51,-1997.38,-7.33,stop_loss,2,19.58,AWHCL,Momentum Breakout
2026-01-27 00:00:00+05:30,2026-02-02 00:00:00+05:30,557.35,492.26,492.26,671.25,720.06,30,-1952.57,-11.68,stop_loss,6,32.54,AWHCL,Momentum Breakout
2026-02-01 00:00:00+05:30,2026-02-20 00:00:00+05:30,1373.2,1368.3,1299.6,1502.0,1557.2,27,-132.3,-0.36,max_hold,16,36.8,AXISBANK,Momentum Breakout
2026-02-16 00:00:00+05:30,2026-02-20 00:00:00+05:30,1421.0,1412.3,1291.23,1648.1,1745.43,15,-130.5,-0.61,max_hold,5,64.89,AXISCADES,Momentum Breakout
2025-12-24 00:00:00+05:30,2025-12-29 00:00:00+05:30,117.5,113.0,113.0,125.38,128.76,444,-1999.27,-3.83,stop_loss,3,2.25,AXISGOLD,Momentum Breakout
2026-01-16 00:00:00+05:30,2026-01-21 00:00:00+05:30,119.8,136.59,113.09,131.55,136.59,297,4223.29,11.87,target_2,4,3.36,AXISGOLD,Momentum Breakout
